cycle	question	evidence	decision	limitations	next
0	Is a custom kernel necessary?	Existing audit and host snapshot	unproven; compare alternatives	No target-hardware game baseline	multi-rate fidelity and benchmark design
1	Do FMI-style communication points + snapshots beat engine tick groups for score/physics invariants under rate change?	FMI 3.0 2022-05-10 (ME/CS/SE, clocks, early return, FMU state); UE 5.8 tick groups (DuringPhysics overlap)	Scheduler/domain/renderer split; FMI is contract vocab not a kernel win; tick groups ≠ conservation	Load 13–17; experiment not executed; arXiv 429	Held-out rally tape vs h={1/120,1/60,1/30} when RAM/load allow; else continuous-collision event order
2	Does scoring need TOI/LinearCast CCD or can discrete net tests be rotation-invariant?	Jolt Discrete tunnels + LinearCast time-stealing + rotational miss; Box2D TOI tunnel-prevention vs statics and may miss final-position hits; PhysX ccdMaxPasses=1 drops remainder; triggers excluded from CCD	CCD is not a scoring oracle; localize first-contact as domain event; do not add a second physics authority	Load ~9; experiment not executed	Held-out net tape: discrete vs TOI vs analytic segment-plane; else snapshot/provenance identity
3	Does withholding the whole scoreboard updater preserve domain continuation, distinct from retaining lifecycle calls with inert draw sinks?	Verified source and fixture inspection; original note and ledger archived under evidence/cycle-003-verification; original schema validation failed	REJECTED original independence claim: fixture still invokes real lifecycle-bearing updateScoreboards; no on/off comparison or human-benefit measurement evidenced	Verification correction, not a new executed experiment; updateScoreboardState and drawScoreboards are proposals, not existing source APIs; G1/M1 remain open	Specify paired normal/inert-draw/no-updater continuation against pinned source and commands; reuse independent lifecycle counterexamples before authorizing a minimal extraction
4	Must operational Properties be restorable separately from Telemetry and opaque FMU/physics blobs?	DTDL v3 53034B: Property backing+sync vs Telemetry emit; Component by-value vs Relationship by-ref. FMI 3.0 complete FMU state ToC. DDS 1.4 pub/sub only. Unreal replay bot-check discarded; ISO 23247 403.	Keep H1-3; do not collapse restore paths; DTDL/FMI are contracts not kernels; no Azure/DDS requirement	Load 11.42; experiment not executed; Unreal replay not evidence	Held-out Property snapshot round-trip or net tape when load allows; else data-locality/jobs without engine replacement
5	Do job/ParallelFor APIs imply a custom kernel, or must layout and exclusive writers be measured separately?	Unity 6.6 jobs/work-steal/ParallelFor NativeArray; UE 5.8 Tasks DAG=TaskGraph backend; Godot WorkerThreadPool group+wait, constant array size. Bench N=4000 AABB: SoA 0.371s vs AoS 0.517s; 2 GIL threads ~0.377s; counts 7580/held 1868 agree. sha256 93ed9748255d27aedb6ca71e88d081ef6a6719ccaa3923f18195e4d9fb08755b	Keep H1-3; jobs are schedulers not scoring/restore; SoA layout > naive threads in CPython; no engine replacement	GIL; naive O(N2); lock path under-stressed; not Burst/Jolt	Cycle 6 Pareto synthesis + held-out rally tape or nogil/ctypes SoA overlap
6	After 1–5, which Pareto splits remain live and what experiment moves an axis?	Synthesis of c1–c5; load 6.30/5.79/6.08; Mem avail ~7.2Gi. No new bench. Matrix: FMI contract vs tick; CCD≠score; Property≠Telemetry≠blob; jobs≠SoA≠rules writers; scoreboard independence rejected.	Keep H1-3; do not promote custom runtime; next is pinned net/rally tape when loadavg-1m<4	Synthesis only; conservation/CCD/Property RT unmeasured	Cycle 7: segment-plane vs discrete vs TOI tape if idle; else DES-vs-ODE literature
7	Must facility ops be DES and court physics ODE, or is one tick group the contract?	Modelica 3.6 sample/hold + when not during integration; Ptolemy II DE vs CT directors; DEVS wiki secondary; IEEE 1516 URL wrong doc; load 5.59/12.03/15.42 Mem~6.2Gi	Keep H1-3; DES/ODE split is typed conversion not a custom kernel; tape still gated	Experiment not executed; HLA unverified; Wikipedia DEVS	Cycle 8: net/rally tape if loadavg-1m<4 and Mem avail>8Gi; else verified HLA 1516 TM or QSS primary
8	Can QSS (state quantization + hysteresis) replace uniform dt as the court integrator without becoming a scoring kernel?	Kofman&Junco 2001 QSS=DEVS, Thm6 Lipschitz convergence, stiff RLC 304 vs Euler>150k (authors); arXiv 2512.17855 LIQSS; 2006.05495 retQSS state-event→time-event; IEEE 1516.1 HTML=1302-2019 discarded; load 1.89 then 6.31 Mem~6.4Gi	Keep H1-3; QSS is solver/DEVS contract not score oracle; tape RAM-gated	Experiment not executed; HLA still unverified; 2001 Matlab counts not ours	Cycle 9: net/rally tape if loadavg-1m<4 and Mem>8Gi; else HLA PDF or bounded QSS vs RK4 scalar ODE if loadavg-1m<4
9	Must animation LOD/culling/interpolation stay off the scoring/contact path?	UE 5.8 Animation Budget Allocator throttles skeletal tick, lower rate, optional interpolate; Unity 6 Animator Cull Completely disables animation when renderers not visible; glTF 2.0 LINEAR/STEP/CUBICSPLINE between keys; HLA URLs still unusable; load 10.64 Mem~5.9Gi	Keep H1-3; anim budget/cull is presentation not authority; do not let visibility write score	Experiment not executed; Godot cull unused; Unity glossary mix on Normal	Cycle 10: net/rally tape if loadavg-1m<4 and Mem>8Gi; else autotuning held-out gates or USD/Nanite streaming docs
